# power spectrum of chi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.703580e-20   0.000000e+00   3.007288e-20   6
  2.776802e-02   1.325742e-19   0.000000e+00   3.469630e-20   12
  3.400874e-02   8.048090e-20   3.725290e-10   1.586804e-20   8
  3.926991e-02   6.141935e-20   0.000000e+00   1.992386e-20   6
  4.390509e-02   7.879847e-20   0.000000e+00   1.951784e-20   24
  4.809562e-02   6.691261e-20   7.024475e-10   1.079902e-20   24
  5.553604e-02   3.341303e-20   0.000000e+00   1.206120e-20   12
  5.890486e-02   3.768239e-20   7.947286e-10   5.833217e-21   30
  6.209118e-02   2.291398e-20   0.000000e+00   3.404727e-21   24
  6.512178e-02   1.587455e-20   1.216675e-09   4.255906e-21   24
  6.801748e-02   3.703272e-20   7.450581e-10   8.565273e-21   8
  7.079483e-02   1.699890e-20   9.934107e-10   3.677114e-21   24
  7.346727e-02   1.288237e-20   0.000000e+00   1.916710e-21   48
  7.853982e-02   1.192299e-20   0.000000e+00   9.262218e-22   6
  8.095699e-02   1.205262e-20   1.404895e-09   1.332443e-21   48
  8.330406e-02   8.091056e-21   0.000000e+00   1.617666e-21   36
  8.558678e-02   6.610582e-21   9.934107e-10   1.341795e-21   24
  8.781018e-02   7.312539e-21   0.000000e+00   1.347782e-21   24
  8.997866e-02   6.264445e-21   0.000000e+00   1.145746e-21   48
  9.209610e-02   1.405598e-20   1.404895e-09   2.786764e-21   24
  9.619124e-02   9.037263e-21   1.404895e-09   1.582140e-21   24
  9.817477e-02   4.203191e-21   0.000000e+00   1.173703e-21   30
  1.001190e-01   4.659810e-21   0.000000e+00   3.787494e-22   72
  1.020262e-01   3.440355e-21   1.490116e-09   6.133841e-22   32
  1.057375e-01   5.291266e-21   0.000000e+00   5.392809e-22   72
  1.075451e-01   3.287472e-21   0.000000e+00   4.423655e-22   48
  1.110721e-01   4.358045e-21   0.000000e+00   4.023436e-22   12
  1.127942e-01   3.441003e-21   0.000000e+00   3.767521e-22   48
  1.144905e-01   3.184501e-21   0.000000e+00   4.377884e-22   48
  1.161620e-01   1.875254e-21   1.404895e-09   2.431035e-22   48
  1.178097e-01   1.978405e-21   1.589457e-09   3.340084e-22   30
  1.194348e-01   1.057146e-21   1.404895e-09   1.462723e-22   24
  1.210380e-01   2.757760e-21   2.961779e-09   3.727213e-22   72
  1.241824e-01   1.782399e-21   0.000000e+00   2.660863e-22   24
  1.257251e-01   1.509754e-21   0.000000e+00   1.463563e-22   96
  1.272490e-01   2.418305e-21   0.000000e+00   2.564877e-22   48
  1.287550e-01   2.117721e-21   2.433349e-09   3.916167e-22   24
  1.302436e-01   1.714737e-21   2.433349e-09   2.399685e-22   24
  1.317153e-01   1.388779e-21   0.000000e+00   1.758198e-22   72
  1.331707e-01   1.227010e-21   0.000000e+00   1.519193e-22   48
  1.360350e-01   1.420448e-21   1.490116e-09   6.207497e-22   8
  1.374447e-01   1.233725e-21   1.766064e-09   1.844619e-22   54
  1.388401e-01   1.721825e-21   0.000000e+00   2.054118e-22   84
  1.402216e-01   9.844418e-22   0.000000e+00   1.581536e-22   48
  1.415897e-01   9.846111e-22   1.986821e-09   1.558784e-22   24
  1.429446e-01   8.985399e-22   1.873193e-09   1.074785e-22   72
  1.442869e-01   1.187758e-21   0.000000e+00   1.004816e-22   96
  1.469345e-01   8.520621e-22   0.000000e+00   1.149438e-22   48
  1.482407e-01   7.916411e-22   0.000000e+00   1.048917e-22   48
  1.495354e-01   1.135388e-21   1.986821e-09   2.951658e-22   24
  1.508189e-01   1.127992e-21   0.000000e+00   1.273852e-22   72
  1.533539e-01   8.091858e-22   1.873193e-09   8.950692e-23   72
  1.546058e-01   8.848671e-22   0.000000e+00   8.249831e-23   96
  1.570796e-01   2.022962e-22   0.000000e+00   7.183437e-23   6
  1.583021e-01   6.973449e-22   0.000000e+00   7.523695e-23   96
  1.595151e-01   7.218360e-22   1.986821e-09   7.285767e-23   96
  1.607190e-01   1.193965e-21   0.000000e+00   1.771997e-22   24
  1.619140e-01   7.069105e-22   2.809790e-09   1.095354e-22   48
  1.631002e-01   6.039659e-22   0.000000e+00   7.098663e-23   96
  1.642778e-01   6.702949e-22   0.000000e+00   9.861385e-23   48
  1.666081e-01   6.211258e-22   0.000000e+00   1.041347e-22   36
  1.677611e-01   6.444165e-22   3.441276e-09   1.029264e-22   48
  1.689063e-01   4.471668e-22   3.893359e-09   3.879181e-23   120
  1.700437e-01   7.067676e-22   0.000000e+00   1.311668e-22   56
  1.711736e-01   4.841210e-22   1.986821e-09   5.757125e-23   24
  1.722960e-01   4.848269e-22   0.000000e+00   5.160314e-23   96
  1.734112e-01   4.945650e-22   0.000000e+00   6.038877e-23   48
  1.756204e-01   2.941067e-22   0.000000e+00   3.840967e-23   24
  1.767146e-01   4.131003e-22   0.000000e+00   4.340694e-23   102
  1.778021e-01   2.839068e-22   0.000000e+00   3.448782e-23   48
  1.788829e-01   4.136599e-22   0.000000e+00   4.921866e-23   72
  1.799573e-01   5.113575e-22   0.000000e+00   8.630988e-23   48
  1.810253e-01   2.971448e-22   0.000000e+00   2.513233e-23   48
  1.820871e-01   2.881452e-22   4.495664e-09   2.343717e-23   120
  1.841922e-01   2.421061e-22   2.809790e-09   4.616361e-23   24
  1.852358e-01   3.402906e-22   2.649095e-09   2.371662e-23   144
  1.862735e-01   3.163637e-22   3.178914e-09   2.705904e-23   120
  1.873055e-01   3.145364e-22   2.809790e-09   3.461805e-23   48
  1.893526e-01   3.356608e-22   2.809790e-09   6.342847e-23   48
  1.903679e-01   2.570230e-22   2.809790e-09   2.698721e-23   96
  1.923825e-01   3.338883e-22   2.809790e-09   4.782850e-23   24
  1.933819e-01   2.023667e-22   0.000000e+00   2.911924e-23   48
  1.943761e-01   2.140283e-22   3.532127e-09   2.383513e-23   108
  1.953653e-01   2.551710e-22   0.000000e+00   2.645739e-23   72
  1.963495e-01   2.473961e-22   0.000000e+00   7.025546e-23   30
  1.973288e-01   2.536820e-22   0.000000e+00   1.830794e-23   168
  1.983033e-01   2.805332e-22   0.000000e+00   4.411851e-23   48
  2.002380e-01   1.988151e-22   0.000000e+00   2.034564e-23   72
  2.011984e-01   2.016080e-22   0.000000e+00   1.997092e-23   96
  2.021542e-01   2.244647e-22   5.298191e-09   2.514282e-23   72
  2.031055e-01   2.129916e-22   0.000000e+00   2.326975e-23   72
  2.040524e-01   1.259600e-22   2.980232e-09   2.341149e-23   32
  2.049949e-01   2.389030e-22   2.649095e-09   2.981946e-23   72
  2.059331e-01   1.728991e-22   3.746387e-09   1.488345e-23   144
  2.087224e-01   1.818977e-22   6.282881e-09   1.761023e-23   96
  2.096439e-01   1.786170e-22   0.000000e+00   1.510006e-23   96
  2.105614e-01   1.155720e-22   0.000000e+00   1.264038e-23   48
  2.114749e-01   1.769053e-22   0.000000e+00   1.851693e-23   72
  2.123845e-01   1.430426e-22   0.000000e+00   1.243454e-23   120
  2.132902e-01   1.431529e-22   0.000000e+00   1.896741e-23   72
  2.150901e-01   2.069503e-22   0.000000e+00   2.956551e-23   48
  2.159845e-01   1.366149e-22   4.235416e-09   1.434807e-23   78
  2.168752e-01   1.623450e-22   3.178914e-09   1.288775e-23   120
  2.177622e-01   1.145084e-22   3.973643e-09   1.264371e-23   48
  2.195255e-01   1.442157e-22   3.746387e-09   1.476459e-23   144
  2.204018e-01   1.193186e-22   3.746387e-09   1.003976e-23   144
  2.221441e-01   6.180633e-23   0.000000e+00   1.428183e-23   12
  2.230102e-01   1.424342e-22   0.000000e+00   1.269015e-23   144
  2.238729e-01   9.536534e-23   4.866699e-09   1.183013e-23   48
  2.247323e-01   1.035557e-22   3.178914e-09   1.013807e-23   120
  2.255884e-01   1.273440e-22   0.000000e+00   1.680524e-23   48
  2.264413e-01   1.231242e-22   0.000000e+00   2.610388e-23   48
  2.272910e-01   1.164663e-22   0.000000e+00   1.013200e-23   168
  2.289809e-01   1.373014e-22   0.000000e+00   2.436451e-23   48
  2.298212e-01   1.021278e-22   2.809790e-09   9.082921e-24   96
  2.306585e-01   1.185933e-22   2.809790e-09   1.127550e-23   96
  2.314927e-01   6.712307e-23   0.000000e+00   8.058696e-24   72
  2.323239e-01   1.033559e-22   2.809790e-09   1.324736e-23   48
  2.331522e-01   1.159843e-22   0.000000e+00   8.768347e-24   96
  2.339775e-01   6.692874e-23   0.000000e+00   9.455986e-24   48
  2.356194e-01   9.076772e-23   3.178914e-09   1.425252e-23   30
  2.364362e-01   9.288005e-23   2.809790e-09   9.329959e-24   96
  2.372501e-01   9.041841e-23   0.000000e+00   6.218598e-24   192
  2.380612e-01   1.028389e-22   3.973643e-09   1.387698e-23   48
  2.380612e-01   5.707692e-23   0.000000e+00   1.452296e-23   8
  2.388695e-01   7.100668e-23   2.809790e-09   8.798965e-24   24
  2.396752e-01   6.974078e-23   0.000000e+00   6.126488e-24   168
  2.404781e-01   6.406790e-23   0.000000e+00   5.315997e-24   120
  2.420760e-01   6.761434e-23   5.923557e-09   6.049680e-24   72
  2.428710e-01   6.363053e-23   3.746387e-09   4.715076e-24   144
  2.436634e-01   6.690571e-23   0.000000e+00   8.216259e-24   96
  2.444532e-01   9.571316e-23   0.000000e+00   1.071635e-23   96
  2.460253e-01   7.984201e-23   4.588368e-09   7.988136e-24   72
  2.468075e-01   6.191207e-23   3.973643e-09   7.324943e-24   96
  2.483647e-01   1.092711e-22   0.000000e+00   2.545567e-23   24
  2.491396e-01   6.462205e-23   0.000000e+00   5.114470e-24   192
  2.499122e-01   5.432487e-23   3.532127e-09   4.786934e-24   108
  2.506823e-01   7.376066e-23   0.000000e+00   2.112088e-23   24
  2.514501e-01   5.990358e-23   0.000000e+00   5.580129e-24   96
  2.522156e-01   5.143509e-23   0.000000e+00   5.663758e-24   96
  2.529787e-01   6.428084e-23   3.178914e-09   5.204841e-24   120
  2.544981e-01   5.746675e-23   0.000000e+00   9.637341e-24   48
  2.552544e-01   6.597391e-23   5.989783e-09   7.069327e-24   78
  2.560085e-01   5.822369e-23   0.000000e+00   4.107292e-24   144
  2.567603e-01   4.973237e-23   0.000000e+00   4.556079e-24   120
  2.575100e-01   3.285428e-23   4.866699e-09   3.663122e-24   24
  2.582575e-01   5.477918e-23   0.000000e+00   4.414424e-24   168
  2.590028e-01   5.454689e-23   0.000000e+00   6.393966e-24   144
  2.604871e-01   6.055480e-23   4.866699e-09   1.307356e-23   24
  2.612261e-01   6.214724e-23   0.000000e+00   9.251777e-24   48
