# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.173959e-16   0.000000e+00   2.542500e-17   6
  2.776802e-02   1.954961e-16   0.000000e+00   2.566382e-17   12
  3.400874e-02   1.392452e-16   3.725290e-10   5.222934e-17   8
  3.926991e-02   1.563103e-16   0.000000e+00   3.361762e-17   6
  4.390509e-02   2.337868e-16   0.000000e+00   3.235131e-17   24
  4.809562e-02   1.250789e-16   7.024475e-10   1.171053e-17   24
  5.553604e-02   1.094079e-16   0.000000e+00   1.510405e-17   12
  5.890486e-02   1.426525e-16   7.947286e-10   2.561020e-17   30
  6.209118e-02   1.371407e-16   0.000000e+00   1.413703e-17   24
  6.512178e-02   1.982117e-16   1.216675e-09   3.039960e-17   24
  6.801748e-02   1.201383e-16   7.450581e-10   2.831336e-17   8
  7.079483e-02   8.116789e-17   9.934107e-10   1.016288e-17   24
  7.346727e-02   1.190424e-16   0.000000e+00   1.094955e-17   48
  7.853982e-02   1.059705e-16   0.000000e+00   7.561241e-18   6
  8.095699e-02   1.033118e-16   1.404895e-09   1.005529e-17   48
  8.330406e-02   1.156908e-16   0.000000e+00   8.982883e-18   36
  8.558678e-02   5.281984e-17   9.934107e-10   7.927601e-18   24
  8.781018e-02   9.244047e-17   0.000000e+00   1.456577e-17   24
  8.997866e-02   6.930172e-17   0.000000e+00   5.651864e-18   48
  9.209610e-02   4.612167e-17   1.404895e-09   4.955559e-18   24
  9.619124e-02   4.695028e-17   1.404895e-09   7.134627e-18   24
  9.817477e-02   5.990484e-17   0.000000e+00   7.015899e-18   30
  1.001190e-01   6.507009e-17   0.000000e+00   5.144390e-18   72
  1.020262e-01   9.468547e-17   1.490116e-09   1.200223e-17   32
  1.057375e-01   6.225866e-17   0.000000e+00   4.744072e-18   72
  1.075451e-01   5.379883e-17   0.000000e+00   6.041270e-18   48
  1.110721e-01   1.908120e-17   0.000000e+00   2.377709e-18   12
  1.127942e-01   4.092732e-17   0.000000e+00   3.061835e-18   48
  1.144905e-01   3.785790e-17   0.000000e+00   3.864433e-18   48
  1.161620e-01   3.523223e-17   1.404895e-09   3.080524e-18   48
  1.178097e-01   3.842858e-17   1.589457e-09   3.325106e-18   30
  1.194348e-01   4.248437e-17   1.404895e-09   8.027825e-18   24
  1.210380e-01   3.982392e-17   2.961779e-09   3.697588e-18   72
  1.241824e-01   5.196780e-17   0.000000e+00   7.177344e-18   24
  1.257251e-01   3.760304e-17   0.000000e+00   2.435133e-18   96
  1.272490e-01   3.153053e-17   0.000000e+00   2.924439e-18   48
  1.287550e-01   3.468118e-17   2.433349e-09   2.788651e-18   24
  1.302436e-01   3.832227e-17   2.433349e-09   5.729114e-18   24
  1.317153e-01   3.222916e-17   0.000000e+00   3.246415e-18   72
  1.331707e-01   3.344278e-17   0.000000e+00   3.092667e-18   48
  1.360350e-01   2.304592e-17   1.490116e-09   1.484924e-18   8
  1.374447e-01   2.677794e-17   1.766064e-09   3.662745e-18   54
  1.388401e-01   2.493129e-17   0.000000e+00   2.289421e-18   84
  1.402216e-01   2.935528e-17   0.000000e+00   2.313123e-18   48
  1.415897e-01   3.544676e-17   1.986821e-09   3.264549e-18   24
  1.429446e-01   2.832803e-17   1.873193e-09   1.934327e-18   72
  1.442869e-01   2.555379e-17   0.000000e+00   1.967880e-18   96
  1.469345e-01   1.170405e-17   0.000000e+00   1.239410e-18   48
  1.482407e-01   1.938463e-17   0.000000e+00   1.728881e-18   48
  1.495354e-01   2.058749e-17   1.986821e-09   2.910335e-18   24
  1.508189e-01   2.122990e-17   0.000000e+00   1.696061e-18   72
  1.533539e-01   1.513917e-17   1.873193e-09   1.289297e-18   72
  1.546058e-01   1.654205e-17   0.000000e+00   1.151315e-18   96
  1.570796e-01   3.050259e-17   0.000000e+00   4.879129e-18   6
  1.583021e-01   1.895697e-17   0.000000e+00   1.462065e-18   96
  1.595151e-01   1.505395e-17   1.986821e-09   1.268555e-18   96
  1.607190e-01   1.321768e-17   0.000000e+00   2.518995e-18   24
  1.619140e-01   1.403712e-17   2.809790e-09   1.350867e-18   48
  1.631002e-01   1.330142e-17   0.000000e+00   9.435782e-19   96
  1.642778e-01   1.081967e-17   0.000000e+00   8.721612e-19   48
  1.666081e-01   1.451377e-17   0.000000e+00   2.662474e-18   36
  1.677611e-01   1.552201e-17   3.441276e-09   1.656750e-18   48
  1.689063e-01   1.475287e-17   3.893359e-09   1.018764e-18   120
  1.700437e-01   9.508041e-18   0.000000e+00   8.915056e-19   56
  1.711736e-01   9.653615e-18   1.986821e-09   6.809378e-19   24
  1.722960e-01   1.124033e-17   0.000000e+00   9.772241e-19   96
  1.734112e-01   9.009813e-18   0.000000e+00   1.219583e-18   48
  1.756204e-01   1.905093e-17   0.000000e+00   3.036043e-18   24
  1.767146e-01   1.164174e-17   0.000000e+00   1.168401e-18   102
  1.778021e-01   1.190690e-17   0.000000e+00   1.399987e-18   48
  1.788829e-01   1.112158e-17   0.000000e+00   1.464894e-18   72
  1.799573e-01   1.016802e-17   0.000000e+00   1.654634e-18   48
  1.810253e-01   1.159795e-17   0.000000e+00   1.179099e-18   48
  1.820871e-01   1.108166e-17   4.495664e-09   1.070654e-18   120
  1.841922e-01   3.419734e-18   2.809790e-09   4.917805e-19   24
  1.852358e-01   8.604470e-18   2.649095e-09   5.806652e-19   144
  1.862735e-01   7.792529e-18   3.178914e-09   6.002215e-19   120
  1.873055e-01   1.162766e-17   2.809790e-09   1.224750e-18   48
  1.893526e-01   8.050863e-18   2.809790e-09   7.294930e-19   48
  1.903679e-01   7.974600e-18   2.809790e-09   6.847460e-19   96
  1.923825e-01   7.229041e-18   2.809790e-09   1.109435e-18   24
  1.933819e-01   5.015963e-18   0.000000e+00   8.701890e-19   48
  1.943761e-01   6.697512e-18   3.532127e-09   4.840191e-19   108
  1.953653e-01   6.065213e-18   0.000000e+00   5.800239e-19   72
  1.963495e-01   7.530142e-18   0.000000e+00   1.649887e-18   30
  1.973288e-01   7.392148e-18   0.000000e+00   5.876037e-19   168
  1.983033e-01   1.202989e-17   0.000000e+00   1.958867e-18   48
  2.002380e-01   8.824302e-18   0.000000e+00   7.707705e-19   72
  2.011984e-01   8.950385e-18   0.000000e+00   9.425793e-19   96
  2.021542e-01   6.610978e-18   5.298191e-09   4.823755e-19   72
  2.031055e-01   6.396119e-18   0.000000e+00   5.725503e-19   72
  2.040524e-01   1.192561e-17   2.980232e-09   1.923662e-18   32
  2.049949e-01   7.196898e-18   2.649095e-09   7.794675e-19   72
  2.059331e-01   7.110433e-18   3.746387e-09   5.779816e-19   144
  2.087224e-01   6.759443e-18   6.282881e-09   5.662833e-19   96
  2.096439e-01   3.732470e-18   0.000000e+00   2.961323e-19   96
  2.105614e-01   5.164658e-18   0.000000e+00   4.877463e-19   48
  2.114749e-01   4.790629e-18   0.000000e+00   5.010470e-19   72
  2.123845e-01   5.787867e-18   0.000000e+00   4.845506e-19   120
