# power spectrum of phi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.299380e-10   0.000000e+00   4.800386e-11   6
  2.776802e-02   1.880661e-10   0.000000e+00   4.124634e-11   12
  3.400874e-02   9.166634e-11   3.725290e-10   2.587186e-11   8
  3.926991e-02   8.185766e-11   0.000000e+00   2.132699e-11   6
  4.390509e-02   6.251286e-11   0.000000e+00   7.925803e-12   24
  4.809562e-02   4.968063e-11   7.024475e-10   9.661670e-12   24
  5.553604e-02   1.324511e-11   0.000000e+00   3.033194e-12   12
  5.890486e-02   3.610085e-11   7.947286e-10   4.349298e-12   30
  6.209118e-02   2.217539e-11   0.000000e+00   4.134171e-12   24
  6.512178e-02   2.592570e-11   1.216675e-09   5.046261e-12   24
  6.801748e-02   4.405870e-11   7.450581e-10   1.566717e-11   8
  7.079483e-02   1.897674e-11   9.934107e-10   3.496193e-12   24
  7.346727e-02   1.521007e-11   0.000000e+00   1.735576e-12   48
  7.853982e-02   1.366435e-11   0.000000e+00   4.148627e-13   6
  8.095699e-02   1.915835e-11   1.404895e-09   2.242666e-12   48
  8.330406e-02   1.636248e-11   0.000000e+00   2.365211e-12   36
  8.558678e-02   7.134854e-12   9.934107e-10   1.948809e-12   24
  8.781018e-02   9.260564e-12   0.000000e+00   1.526385e-12   24
  8.997866e-02   9.805123e-12   0.000000e+00   1.348638e-12   48
  9.209610e-02   1.271348e-11   1.404895e-09   2.443377e-12   24
  9.619124e-02   7.463245e-12   1.404895e-09   1.542199e-12   24
  9.817477e-02   9.696020e-12   0.000000e+00   1.877745e-12   30
  1.001190e-01   9.498707e-12   0.000000e+00   9.734173e-13   72
  1.020262e-01   1.000318e-11   1.490116e-09   1.579424e-12   32
  1.057375e-01   6.288495e-12   0.000000e+00   9.214262e-13   72
  1.075451e-01   6.584093e-12   0.000000e+00   8.623347e-13   48
  1.110721e-01   3.208057e-12   0.000000e+00   6.210719e-13   12
  1.127942e-01   6.448714e-12   0.000000e+00   8.640162e-13   48
  1.144905e-01   5.531592e-12   0.000000e+00   8.025024e-13   48
  1.161620e-01   4.001483e-12   1.404895e-09   5.861599e-13   48
  1.178097e-01   3.959697e-12   1.589457e-09   8.254185e-13   30
  1.194348e-01   5.971466e-12   1.404895e-09   9.048426e-13   24
  1.210380e-01   5.056447e-12   2.961779e-09   4.450997e-13   72
  1.241824e-01   4.911336e-12   0.000000e+00   1.932974e-12   24
  1.257251e-01   5.348158e-12   0.000000e+00   5.081570e-13   96
  1.272490e-01   2.701526e-12   0.000000e+00   4.553228e-13   48
  1.287550e-01   2.931663e-12   2.433349e-09   5.035059e-13   24
  1.302436e-01   6.978684e-12   2.433349e-09   1.142938e-12   24
  1.317153e-01   3.513372e-12   0.000000e+00   4.528611e-13   72
  1.331707e-01   4.130862e-12   0.000000e+00   5.521471e-13   48
  1.360350e-01   3.842869e-12   1.490116e-09   1.450769e-12   8
  1.374447e-01   3.441467e-12   1.766064e-09   2.982802e-13   54
  1.388401e-01   3.794925e-12   0.000000e+00   5.136540e-13   84
  1.402216e-01   2.797012e-12   0.000000e+00   3.629410e-13   48
  1.415897e-01   2.441248e-12   1.986821e-09   6.573578e-13   24
  1.429446e-01   2.836310e-12   1.873193e-09   3.450981e-13   72
  1.442869e-01   2.672967e-12   0.000000e+00   2.350685e-13   96
  1.469345e-01   1.895364e-12   0.000000e+00   2.065921e-13   48
  1.482407e-01   2.070538e-12   0.000000e+00   3.220974e-13   48
  1.495354e-01   2.032935e-12   1.986821e-09   4.411968e-13   24
  1.508189e-01   1.772222e-12   0.000000e+00   2.196596e-13   72
  1.533539e-01   1.654003e-12   1.873193e-09   2.093831e-13   72
  1.546058e-01   1.617116e-12   0.000000e+00   1.447595e-13   96
  1.570796e-01   7.461136e-13   0.000000e+00   3.497838e-13   6
  1.583021e-01   1.911319e-12   0.000000e+00   2.559064e-13   96
  1.595151e-01   1.763820e-12   1.986821e-09   1.768806e-13   96
  1.607190e-01   1.817009e-12   0.000000e+00   3.189030e-13   24
  1.619140e-01   1.550689e-12   2.809790e-09   1.877242e-13   48
  1.631002e-01   1.354915e-12   0.000000e+00   1.241276e-13   96
  1.642778e-01   7.592047e-13   0.000000e+00   8.625299e-14   48
  1.666081e-01   1.898789e-12   0.000000e+00   4.001237e-13   36
  1.677611e-01   1.245604e-12   3.441276e-09   2.454882e-13   48
  1.689063e-01   1.251768e-12   3.893359e-09   1.253498e-13   120
  1.700437e-01   1.281552e-12   0.000000e+00   1.523614e-13   56
  1.711736e-01   5.590664e-13   1.986821e-09   1.317049e-13   24
  1.722960e-01   9.263745e-13   0.000000e+00   9.909021e-14   96
  1.734112e-01   1.063759e-12   0.000000e+00   1.463098e-13   48
  1.756204e-01   1.156485e-12   0.000000e+00   2.289934e-13   24
  1.767146e-01   1.312915e-12   0.000000e+00   1.284129e-13   102
  1.778021e-01   2.210099e-12   0.000000e+00   3.644494e-13   48
  1.788829e-01   1.868220e-12   0.000000e+00   2.431645e-13   72
  1.799573e-01   8.837654e-13   0.000000e+00   1.493571e-13   48
  1.810253e-01   1.866914e-12   0.000000e+00   3.657446e-13   48
  1.820871e-01   1.243494e-12   4.495664e-09   1.407000e-13   120
  1.841922e-01   3.770595e-13   2.809790e-09   8.230575e-14   24
  1.852358e-01   9.043768e-13   2.649095e-09   7.134448e-14   144
  1.862735e-01   8.065189e-13   3.178914e-09   8.328849e-14   120
  1.873055e-01   1.613349e-12   2.809790e-09   2.041653e-13   48
  1.893526e-01   7.308119e-13   2.809790e-09   1.215785e-13   48
  1.903679e-01   8.646814e-13   2.809790e-09   1.113942e-13   96
  1.923825e-01   7.133920e-13   2.809790e-09   7.068553e-14   24
  1.933819e-01   7.095759e-13   0.000000e+00   1.985138e-13   48
  1.943761e-01   7.453402e-13   3.532127e-09   7.669505e-14   108
  1.953653e-01   5.593816e-13   0.000000e+00   6.017838e-14   72
  1.963495e-01   1.239631e-12   0.000000e+00   3.172061e-13   30
  1.973288e-01   8.658602e-13   0.000000e+00   7.229112e-14   168
  1.983033e-01   1.292977e-12   0.000000e+00   2.727030e-13   48
  2.002380e-01   8.076362e-13   0.000000e+00   1.078245e-13   72
  2.011984e-01   1.413520e-12   0.000000e+00   1.727961e-13   96
  2.021542e-01   6.352079e-13   5.298191e-09   5.602365e-14   72
  2.031055e-01   5.943972e-13   0.000000e+00   7.167534e-14   72
  2.040524e-01   7.906952e-13   2.980232e-09   1.194137e-13   32
  2.049949e-01   5.746644e-13   2.649095e-09   7.079021e-14   72
  2.059331e-01   7.726982e-13   3.746387e-09   9.262359e-14   144
  2.087224e-01   9.413485e-13   6.282881e-09   1.053045e-13   96
  2.096439e-01   3.131092e-13   0.000000e+00   3.567539e-14   96
  2.105614e-01   2.977729e-13   0.000000e+00   3.108169e-14   48
  2.114749e-01   4.632346e-13   0.000000e+00   7.810291e-14   72
