# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.167277e-19   0.000000e+00   3.688848e-20   6
  2.776802e-02   7.897439e-20   0.000000e+00   6.622167e-21   12
  3.400874e-02   3.817354e-20   3.725290e-10   2.541593e-21   8
  3.926991e-02   3.118426e-20   0.000000e+00   3.274801e-21   6
  4.390509e-02   2.618666e-20   0.000000e+00   2.467796e-21   24
  4.809562e-02   1.249420e-20   7.024475e-10   2.070917e-21   24
  5.553604e-02   1.158750e-20   0.000000e+00   1.036768e-21   12
  5.890486e-02   4.433748e-21   7.947286e-10   3.807482e-22   30
  6.209118e-02   5.408646e-21   0.000000e+00   8.210266e-22   24
  6.512178e-02   5.965078e-21   1.216675e-09   8.588304e-22   24
  6.801748e-02   3.625071e-21   7.450581e-10   5.207382e-22   8
  7.079483e-02   3.064073e-21   9.934107e-10   3.610143e-22   24
  7.346727e-02   2.737037e-21   0.000000e+00   2.591447e-22   48
  7.853982e-02   2.929799e-21   0.000000e+00   1.936000e-22   6
  8.095699e-02   1.459278e-21   1.404895e-09   1.621814e-22   48
  8.330406e-02   1.644411e-21   0.000000e+00   1.600114e-22   36
  8.558678e-02   1.313365e-21   9.934107e-10   2.008878e-22   24
  8.781018e-02   1.501801e-21   0.000000e+00   2.386586e-22   24
  8.997866e-02   1.047860e-21   0.000000e+00   9.408510e-23   48
  9.209610e-02   1.192565e-21   1.404895e-09   1.189317e-22   24
  9.619124e-02   7.908905e-22   1.404895e-09   1.080587e-22   24
  9.817477e-02   9.467391e-22   0.000000e+00   1.522644e-22   30
  1.001190e-01   5.998278e-22   0.000000e+00   4.176087e-23   72
  1.020262e-01   4.805122e-22   1.490116e-09   5.004518e-23   32
  1.057375e-01   5.187267e-22   0.000000e+00   3.860788e-23   72
  1.075451e-01   4.483166e-22   0.000000e+00   3.778446e-23   48
  1.110721e-01   4.712959e-22   0.000000e+00   9.743831e-23   12
  1.127942e-01   3.221411e-22   0.000000e+00   2.297731e-23   48
  1.144905e-01   3.477101e-22   0.000000e+00   3.036586e-23   48
  1.161620e-01   3.087347e-22   1.404895e-09   2.908598e-23   48
  1.178097e-01   3.149709e-22   1.589457e-09   4.032399e-23   30
  1.194348e-01   2.662809e-22   1.404895e-09   3.166138e-23   24
  1.210380e-01   2.558550e-22   2.961779e-09   1.646673e-23   72
  1.241824e-01   2.403296e-22   0.000000e+00   3.314239e-23   24
  1.257251e-01   2.077733e-22   0.000000e+00   1.095842e-23   96
  1.272490e-01   2.027437e-22   0.000000e+00   1.712436e-23   48
  1.287550e-01   2.188405e-22   2.433349e-09   2.747115e-23   24
  1.302436e-01   2.047526e-22   2.433349e-09   2.332037e-23   24
  1.317153e-01   1.571156e-22   0.000000e+00   1.160861e-23   72
  1.331707e-01   1.880431e-22   0.000000e+00   1.481531e-23   48
  1.360350e-01   1.222883e-22   1.490116e-09   1.851789e-23   8
  1.374447e-01   1.192802e-22   1.766064e-09   1.122555e-23   54
  1.388401e-01   1.078320e-22   0.000000e+00   6.433019e-24   84
  1.402216e-01   1.069618e-22   0.000000e+00   9.590330e-24   48
  1.415897e-01   1.214940e-22   1.986821e-09   1.450795e-23   24
  1.429446e-01   1.036093e-22   1.873193e-09   9.475945e-24   72
  1.442869e-01   1.086446e-22   0.000000e+00   1.044114e-23   96
  1.469345e-01   7.503797e-23   0.000000e+00   6.986670e-24   48
  1.482407e-01   8.190952e-23   0.000000e+00   7.594382e-24   48
  1.495354e-01   9.282565e-23   1.986821e-09   8.655138e-24   24
  1.508189e-01   7.626271e-23   0.000000e+00   6.457877e-24   72
  1.533539e-01   6.724321e-23   1.873193e-09   4.205663e-24   72
  1.546058e-01   6.683952e-23   0.000000e+00   4.507993e-24   96
